# DM      Sigma      Time (s)     Sample    Downfact
347.385281   52.922181   107.795988   2631738   32
679.891596   26.141747   109.795164   2680546   64
476.046866   19.422760   111.333048   2718092   64
553.475421   17.423872   113.843978   2779394   64
482.255005   20.853164   115.872768   2828925   64
544.545187   18.179566   118.125117   2883914   64
294.117801   28.368111   120.012308   2929988   32
539.539442   15.313587   122.224108   2983987   64
563.539290   119.930636   124.065915   3028953   32
448.732396   71.265301   126.167122   3080252   32
317.159093   82.924390   128.564388   3138779   16
379.363484   46.650184   129.994220   3173687   64
656.171326   4.799732   132.513341   3235189   8
697.173195   22.303806   134.464102   3282815   64
408.063429   10.118915   136.407327   3330257   64
675.963328   41.138411   138.426081   3379543   32
432.485937   17.266703   140.315075   3425661   64
288.367388   46.092658   142.681457   3483434   16
545.500057   90.346812   144.751043   3533961   16
624.353460   19.945579   146.598339   3579061   64
617.628948   52.199249   148.331643   3621378   16
609.121819   19.203431   150.533161   3675126   64
385.894624   55.215894   152.793129   3730301   64
496.906136   12.130020   154.764124   3778421   64
480.359473   24.923668   156.843663   3829191   32
349.175639   13.184790   158.859141   3878397   64
430.882326   20.362003   161.034568   3931508   64
343.596656   35.527310   163.204096   3984475   32
326.541144   21.178459   165.262664   4034733   64
369.245180   12.452148   167.247872   4083200   64
717.942593   18.819661   168.819220   4121563   64
588.441610   22.691339   170.908180   4172563   128
468.052299   30.710339   172.818227   4219195   64
314.762313   44.640439   175.169905   4276609   64
485.648597   99.956429   177.076265   4323151   16
540.707664   76.355044   179.440968   4380883   32
314.884259   103.947481   181.480694   4430681   16
588.004903   34.426384   182.975488   4467175   64
427.759425   28.892483   185.880535   4538099   128
430.202645   17.736341   187.169014   4569556   64
422.394939   19.179771   189.215662   4619523   64
503.780443   81.911245   191.844311   4683699   16
654.089408   27.760580   193.330545   4719984   64
424.343918   24.260533   195.828982   4780981   64
676.662932   22.920281   197.897626   4831485   64
412.035551   65.847512   199.526892   4871262   32
402.388422   20.595353   201.695109   4924197   64
385.311326   111.611089   204.300820   4987813   16
649.082954   35.023352   205.498900   5017063   64
624.609952   103.651343   208.063488   5079675   16
309.283212   19.946480   209.734574   5120473   128
612.781554   19.816561   212.120740   5178729   128
303.930590   23.316531   214.580511   5238782   64
554.075736   23.998457   216.153252   5277179   64
728.105709   22.834277   218.184540   5326771   64
346.713354   34.254794   220.149514   5374744   32
742.686395   48.199155   222.123827   5422945   32
312.471074   15.848497   223.991194   5468535   64
385.563780   62.404388   226.827387   5537778   16
535.582978   32.836273   228.577731   5580511   32
288.745161   16.173100   230.497649   5627384   64
636.644920   4.199422   232.646656   5679850   8
490.556738   187.273592   234.367017   5721851   16
637.481051   30.997477   236.606013   5776514   64
275.438020   20.195260   238.404239   5820416   64
565.579734   24.422338   240.569958   5873290   64
650.129020   143.963427   243.080315   5934578   16
376.671921   20.116901   244.970291   5980720   64
286.426512   29.551349   247.079199   6032207   32
263.194194   36.955544   248.676352   6071200   64
434.107625   15.553867   251.343299   6136311   64
505.343000   31.494705   253.352223   6185357   64
596.129955   38.113456   254.969242   6224835   64
380.944510   42.747830   256.835379   6270395   32
371.873514   37.914583   259.290481   6330334   128
339.352526   30.494313   261.524808   6384883   64
747.945896   20.221291   263.300137   6428226   64
317.726572   34.835579   265.194004   6474463   64
395.612500   11.672275   267.738399   6536582   64
346.357590   17.754761   269.068083   6569045   64
486.139814   40.546668   271.257846   6622506   32
717.475831   24.839676   273.714872   6682492   128
455.802616   21.701626   275.899556   6735829   64
675.548136   31.505828   277.697495   6779724   128
349.713813   16.633492   279.897825   6833443   128
614.789607   13.301016   281.843139   6880936   128
727.722835   15.871948   283.640381   6924814   128
520.026845   33.643698   286.080082   6984377   32
306.757048   33.787991   288.308675   7038786   32
379.071427   18.215348   289.737769   7073676   64
546.792202   18.135965   291.706143   7121732   64
468.750463   70.765620   294.103450   7180260   16
495.420132   67.047004   296.232550   7232240   32
748.852676   4.106039   297.251430   7257115   4
264.624100   49.291911   300.544082   7337502   32
613.640148   24.118783   302.376059   7382228   64
346.381985   15.333555   304.275374   7428598   64
533.213859   25.554992   306.037391   7471616   32
722.848297   17.498614   308.532470   7532531   64
585.946728   4.418339   309.974385   7567734   2
313.246498   31.685269   312.437555   7627870   64
674.985168   28.464727   314.744340   7684188   128
474.991279   36.337435   316.867543   7736024   64
410.195012   30.912553   318.867579   7784853   32
701.602240   35.996987   320.398623   7822232   128
455.012287   111.552843   322.725724   7879046   16
517.088768   78.347654   325.046804   7935713   16
576.579164   151.802490   326.854656   7979850   16
718.553556   22.145487   328.842404   8028379   64
528.875524   31.700346   330.904166   8078715   32
591.757668   15.443610   333.231063   8135524   64
340.949618   23.916474   335.420785   8188984   32
261.423657   11.020475   337.480049   8239259   64
557.812207   18.227318   339.148677   8279997   128
582.759327   102.866729   341.031977   8325976   16
436.998133   38.406338   343.118766   8376923   32
273.379170   36.098517   345.077187   8424736   64
536.723245   142.169627   347.209769   8476801   16
683.511738   14.940983   348.793324   8515462   128
534.714512   23.091550   350.915707   8567278   64
625.830836   14.492838   352.598835   8608370   64
742.349592   5.176449   355.422536   8677308   2
396.925200   42.513201   357.599764   8730463   32
711.166819   43.232893   359.668572   8780971   64
361.990781   26.194663   361.736233   8831451   64
302.007842   98.966490   363.455529   8873426   16
300.088973   39.594466   365.872456   8932433   32
340.774888   19.697497   367.473377   8971518   64
276.730821   23.234091   369.429996   9019287   128
410.479232   65.982646   372.117668   9084904   32
389.276313   14.512414   374.211666   9136027   64
710.772856   59.933463   376.018616   9180142   16
544.521913   38.827435   378.197975   9233349   64
607.235007   19.659554   380.063908   9278904   64
470.965299   47.794287   381.645619   9317520   64
548.102671   24.692756   384.160686   9378923   128
406.654467   16.037419   386.053816   9425142   64
487.263484   17.647045   388.403405   9482505   64
596.466429   32.612361   390.470246   9532965   64
485.903887   12.890024   392.452014   9581348   128
694.518691   51.233803   394.251633   9625284   32
653.799222   21.771863   396.605112   9682742   64
443.250109   20.254154   398.782218   9735894   64
375.094417   34.522701   400.421888   9775925   32
318.824395   110.042005   402.758164   9832963   16
293.411696   60.767874   404.733420   9881187   16
361.009901   26.704089   406.876078   9933498   128
384.687466   116.446351   408.782807   9980049   16
686.990851   11.836522   410.908508   10031946   64
297.373733   50.295059   412.692439   10075499   64
477.639377   58.391954   415.119196   10134746   32
452.086671   20.021915   417.140285   10184089   64
435.972261   12.530272   418.914836   10227413   64
654.984398   27.487637   420.691190   10270781   128
564.721923   17.988393   423.031316   10327913   64
442.002962   27.433532   425.405604   10385879   128
259.035809   22.276220   427.503944   10437108   64
333.072630   21.075141   429.454295   10484724   64
331.810614   23.859866   431.515566   10535048   64
695.903737   43.292985   433.235763   10577045   32
439.756991   43.863758   435.486597   10631997   64
309.272986   42.443820   437.842780   10689521   64
552.867439   60.716944   439.437722   10728460   32
299.726256   34.932462   441.393889   10776218   32
294.278463   38.062866   443.685560   10832167   32
573.105914   29.727651   445.628867   10879611   64
276.889788   127.409158   447.876874   10934494   8
382.783428   20.963996   449.402307   10971736   64
579.476071   34.237586   451.233219   11016436   64
430.430076   27.144063   453.960131   11083011   64
349.979990   25.098697   456.068342   11134481   64
300.668174   28.392940   457.532006   11170215   64
435.608703   39.430876   459.559649   11219718   32
510.895780   31.368693   462.055096   11280642   32
707.678893   22.421403   464.229048   11333717   64
318.827038   21.810143   466.355896   11385642   32
576.320472   47.496263   468.399432   11435533   64
677.047719   56.916780   470.284288   11481550   32
546.908828   38.615285   472.314388   11531113   64
607.873224   63.749091   474.369556   11581288   32
269.201662   21.306315   476.640502   11636731   64
749.434305   21.865507   477.822484   11665588   128
429.699902   125.122539   480.190751   11723407   16
730.979249   19.778999   482.472141   11779105   64
668.813669   18.800636   484.739441   11834459   64
645.706023   18.519861   486.671933   11881639   64
663.668605   16.359563   488.756347   11932528   64
287.512283   15.119253   490.567967   11976757   128
550.078056   117.862751   492.964700   12035271   16
278.923119   19.834599   494.973010   12084302   64
251.549320   15.032044   497.036698   12134685   128
423.321048   10.676570   498.614149   12173197   128
272.496270   35.896170   501.246689   12237468   32
496.355745   47.753874   503.234806   12286006   32
680.114456   42.430301   505.043272   12330158   64
450.316716   22.814610   507.233772   12383637   32
709.769565   37.718170   508.783985   12421484   64
380.900206   19.793452   511.274394   12482285   128
424.461143   56.760352   513.119068   12527321   32
